epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,4152.94,0.2524,0.44019,0.20621,0.81105,0.95769,0.97382,0.98192,0.93596,0.95754,0.97081,0.97856,0.78086,0.32573,0.45201,0.24102,0.89822,0.000123429,0.000123429,0.000123429
71,4211.92,0.24229,0.43084,0.20124,0.80895,0.97623,0.95884,0.98291,0.94327,0.97959,0.96218,0.98635,0.79046,0.31575,0.42881,0.24123,0.8969,0.000113227,0.000113227,0.000113227
72,4271.29,0.24465,0.43009,0.19772,0.80667,0.97982,0.95633,0.98251,0.9438,0.96983,0.96635,0.98517,0.79463,0.31642,0.44235,0.23979,0.8974,0.000103441,0.000103441,0.000103441
73,4330.83,0.24401,0.43202,0.19867,0.811,0.97236,0.95802,0.98313,0.93906,0.96627,0.97187,0.98779,0.7877,0.31955,0.44398,0.24119,0.90632,9.40829e-05,9.40829e-05,9.40829e-05
74,4389.93,0.24439,0.42693,0.19727,0.80843,0.97473,0.95192,0.98311,0.9366,0.97468,0.95192,0.98348,0.79148,0.31995,0.43875,0.24567,0.90263,8.51638e-05,8.51638e-05,8.51638e-05
75,4449.48,0.23761,0.41853,0.19293,0.8057,0.9733,0.96384,0.98487,0.94429,0.97333,0.97338,0.98653,0.80035,0.30473,0.43526,0.23917,0.90005,7.66946e-05,7.66946e-05,7.66946e-05
76,4508.32,0.23634,0.41438,0.19448,0.81057,0.98104,0.957,0.98289,0.94362,0.97007,0.97037,0.98416,0.79438,0.30374,0.43218,0.23432,0.89598,6.86857e-05,6.86857e-05,6.86857e-05
77,4567.7,0.23178,0.41478,0.18795,0.8025,0.97947,0.95431,0.98373,0.94293,0.98286,0.95765,0.9833,0.79897,0.30866,0.43514,0.23123,0.90395,6.11468e-05,6.11468e-05,6.11468e-05
78,4627.05,0.23167,0.41175,0.19024,0.80926,0.97012,0.97315,0.98399,0.9398,0.97717,0.97342,0.98624,0.79823,0.32014,0.43098,0.22897,0.91021,5.40873e-05,5.40873e-05,5.40873e-05
79,4686.35,0.2244,0.40922,0.18795,0.80211,0.97109,0.96711,0.98445,0.9424,0.97544,0.97032,0.98654,0.80107,0.30925,0.4336,0.22539,0.90725,4.75155e-05,4.75155e-05,4.75155e-05
